" ""givenName"" "," ""otherName"" "," ""familyName"" "," ""email"" "," ""addressLine1"" "," ""addressLine2"" "," ""addressLine3"" "," ""addressLine4"" "," ""addressLine5"" "," ""postCode"" "
" ""Christopher"" "," ""John"" "," ""Bryant"" "," ""bryantc@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
Christopher,  ,Loder,chris.loder.mp@parliament.uk," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
Mark,,Jenkinson,mark.jenkinson.mp@parliament.uk," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Caroline"" ",  ," ""Lucas"" "," ""caroline.lucas.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
Joy,,Morrissey,joy.morrissey.mp@parliament.uk," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
Robert,,Butler,rob.butler.mp@parliament.uk," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Huw"" "," ""William"" "," ""Merriman"" "," ""huw.merriman.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
Kate,," ""Griffiths"" ",kate.griffiths.mp@parliament.uk," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Yasmin "" ",  ," ""Qureshi"" "," ""yasmin.qureshi.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
Abena,  ,Oppong-Asare,abena.oppongasare.mp@parliament.uk," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Mark"" ",  ," ""Harper"" "," ""mark.harper.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
Marco,  ,Longhi,marco.longhi.mp@parliament.uk," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Robert"" "," ""Henry"" "," ""Halfon"" ",  ," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Rupa"" "," ""Asha"" "," ""Huq"" "," ""rupa.huq.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
Greg,,Smith,greg.smith.mp@parliament.uk," ""Speakerâ€™s Office"" "," ""House of Commons"" "," ""London"" "," ""SW1A 0AA"" "," ""(Please note: briefings and other representations from lobbying/interest groups should be sent to the Constituency Office)"" ",  
" ""Jonathan"" "," ""Simon"" "," ""Djanogly"" "," ""jonathan.djanogly.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Victoria"" "," ""Grace"" "," ""Ford"" "," ""vicky.ford.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""William"" "," ""David"" "," ""Wiggin"" "," ""bill.wiggin.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
Jane,,Hunt,jane.hunt.mp@parliament.uk," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Daniel"" "," ""Robert"" "," ""Kawczynski"" "," ""kawczynskid@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Stuart"" "," ""James"" "," ""Andrew"" "," ""stuart.andrew.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
Claudia,,Webbe,claudia.webbe.mp@parliament.uk," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Neil"" "," ""John"" "," ""O'Brien"" "," ""neil.obrien.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Oliver"" ",  ," ""Heald"" "," ""Oliver.heald.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
Dean,,Russell,dean.russell.mp@parliament.uk," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Alan"" ",  ," ""Campbell"" "," ""alan.campbell.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""George"" "," ""Edward"" "," ""Howarth"" "," ""george.howarth.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
Amy,,Callaghan,amy.callaghan.mp@parliament.uk," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
Paula,,Barker,paula.barker.mp@parliament.uk," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
Nadia,,Whittome,nadia.whittome.mp@parliament.uk," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Alexander"" ",  ," ""Cunningham"" "," ""alex.cunningham.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Sharon"" ",  ," ""Hodgson"" "," ""sharon.hodgson.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Rosena"" "," ""Chantelle"" "," ""Allin-Khan"" "," ""rosena.allinkhan.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
Theodora,,Clarke,theo.clarke.mp@parliament.uk," ""House of Commons"" ",  ,  ,  ,  ," ""SW1A 0AA"" "
" ""Shailesh"" "," ""Lakhman"" "," ""Vara"" "," ""shailesh.vara.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Kwasi"" "," ""Alfred Addo"" "," ""Kwarteng"" "," ""kwasi.kwarteng.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Robert"" "," ""James"" "," ""Buckland"" "," ""robert.buckland.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Stephen"" "," ""Nathan"" "," ""Kinnock"" "," ""stephen.kinnock.mp@parliament.uk"" "," ""London"" ",  ,  ,  ,  ," ""SW1A 0AA"" "
" ""Gavin"" "," ""James"" "," ""Robinson"" "," ""gavin.robinson.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Peter"" ",  ," ""Grant"" "," ""peter.grant.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""John"" "," ""Alan"" "," ""Redwood"" "," ""john.redwood.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
Alun Craig,,Williams,craig.williams.mp@parliament.uk," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Gerald"" ",  ," ""Jones"" "," ""gerald.jones.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Michael"" ",  ," ""Brady"" "," ""mickey.brady.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
Lee,  ,Anderson,lee.anderson.mp@parliament.uk," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Anne-Marie"" "," ""Belinda"" "," ""Trevelyan"" "," ""annemarie.trevelyan.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Richard"" ",  ," ""Graham"" "," ""richard.graham.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Lindsay"" "," ""Harvey"" "," ""Hoyle"" "," ""Lindsay.hoyle.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Andrew"" "," ""Theakstone"" "," ""Percy"" "," ""andrew.percy.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Margaret"" "," ""Mary"" "," ""Beckett"" "," ""margaret.beckett.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Melvyn"" "," ""John"" "," ""Stride"" "," ""mel.stride.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Christopher"" "," ""Stephen"" "," ""Grayling"" "," ""chris.grayling.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Martin"" "," ""John"" "," ""Vickers"" "," ""martin.vickers.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
Julie,,Marson,julie.marson.mp@parliament.uk," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Cheryl"" "," ""Elise Kendall"" "," ""Gillan"" "," ""cheryl.gillan.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
Antony,,Higginbotham,antony.higginbotham.mp@parliament.uk," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Alok"" "," ""Kumar"" "," ""Sharma"" "," ""alok.sharma.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
Alexander,,Stafford,alexander.stafford.mp@parliament.uk," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Karl"" ",  ," ""Turner"" "," ""karl.turner.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Sarah"" "," ""Deborah"" "," ""Champion"" "," ""sarah.champion.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Victoria"" ",  ," ""Foxcroft"" "," ""vicky.foxcroft.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Mark"" "," ""Steven"" "," ""Spencer"" "," ""mark.spencer.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Ranil"" "," ""Malcolm"" "," ""Jayawardena"" "," ""Ranil@TellRanil.com"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Laurence"" "," ""Anthony"" "," ""Robertson"" "," ""robertsonl@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Margaret"" "," ""Ann"" "," ""Throup"" "," ""maggie.throup.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
Suzanne,,Webb,suzanne.webb.mp@parliament.uk," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
Paul,  ,Holmes,paul.holmes.mp@parliament.uk," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Chinyelu"" "," ""Susan"" "," ""Onwurah"" "," ""chi.onwurah.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
Aaron,,Bell,aaron.bell.mp@parliament.uk," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Elizabeth"" "," ""Mary"" "," ""Truss"" "," ""elizabeth.truss.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
Siobhan,  ,Baillie,siobhan.baillie.mp@parliament.uk," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
Navendu,  ,Mishra,navendu.mishra.mp@parliament.uk," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Priti"" "," ""Sushil"" "," ""Patel"" "," ""withammp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Catherine"" "," ""Elizabeth"" "," ""West"" "," ""catherine.west.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""David"" "," ""James"" "," ""Duguid"" "," ""david.duguid.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Mary"" "," ""Theresa"" "," ""Glindon"" "," ""mary.glindon.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Gregory"" "," ""Lloyd"" "," ""Campbell"" "," ""fieldingm@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""John"" ",  ," ""McNally"" "," ""john.mcnally.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Francis"" "," ""Joseph"" "," ""Molloy"" ",  ," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""John"" ",  ," ""Healey"" "," ""john.healey.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""David"" "," ""Jonathan "" "," ""Edwards"" "," ""jonathan.edwards.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Peter"" ",  ," ""Wishart"" "," ""wishartp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Martyn"" ",  ," ""Day"" "," ""martyn.day.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Ian"" ",  ," ""Murray"" "," ""ian.murray.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Angela"" ",  ," ""Rayner"" "," ""angela.rayner.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Miriam"" "," ""Jane Alice"" "," ""Davies"" "," ""mims.davies.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
Christian,  ,Wakeford,christian.wakeford.mp@parliament.uk," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Thomas"" "," ""Christopher John"" "," ""Pursglove"" "," ""tom.pursglove.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Margaret"" "," ""Eve"" "," ""Hodge"" "," ""hodgem@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Darren"" "," ""Paul"" "," ""Jones"" "," ""darren.jones.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
Lia,  ,Nici-Townend,lia.nici.mp@parliament.uk," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Michael"" "," ""Robert"" "," ""Hill"" "," ""mike.hill.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Clive"" "," ""Stanley"" "," ""Efford"" "," ""effordc@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Rushanara"" ",  ," ""Ali"" "," ""rushanara.ali.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""William"" "," ""Peter"" "," ""Wragg"" ",  ," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Andrew"" "," ""John"" "," ""Stevenson"" "," ""john.stevenson.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Catherine"" "," ""Malloy"" "," ""Hollern"" "," ""kate.hollern.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
Gagan,,Mohindra,gagan.mohindra.mp@parliament.uk," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Kirsty"" "," ""Ann"" "," ""Blackman"" "," ""kirsty.blackman.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Luke"" "," ""Anthony"" "," ""Hall"" "," ""luke.hall.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Desmond"" "," ""Angus"" "," ""Swayne"" "," ""swayned@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""John"" "," ""Robert"" "," ""Cryer"" "," ""john.cryer.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Richard"" ",  ," ""Burgon"" "," ""richard@richardburgon.com"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""David"" "," ""Henry"" "," ""Rutley"" "," ""david.rutley.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
Jane,,Stevenson,jane.stevenson.mp@parliament.uk," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Robert"" "," ""John"" "," ""Blackman"" "," ""bob.blackman.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
Mohammad Saqib,,Bhatti,saqib.bhatti@parliament.uk," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Mark"" "," ""Phillip"" "," ""Hendrick"" "," ""mark.hendrick.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Andrew"" "," ""Edmund Armstrong"" "," ""Selous"" "," ""andrew.selous.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Katherine"" "," ""Anne"" "," ""Green"" "," ""kate.green.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Stephen"" "," ""James"" "," ""Metcalfe"" "," ""stephen.metcalfe.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Peter"" "," ""William"" "," ""Bone"" "," ""bonep@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Rishi"" ",  ," ""Sunak"" "," ""rishi.sunak.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Nicholas"" "," ""Hugh"" "," ""Brown"" "," ""nickbrownmp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
Holly,  ,Mumby-Croft,holly.mumbycroft.mp@parliament.uk," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Catherine"" ",  ," ""McKinnell"" "," ""catherine.mckinnell.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""James"" "," ""Roger"" "," ""Cartlidge"" "," ""james.cartlidge.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Hannah"" "," ""Mary"" "," ""Bardell"" "," ""hannah.bardell.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Andrew"" ",  ," ""Bowie"" "," ""andrew.bowie.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
Órfhlaith,  ," ""Begley"" ",  ," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Alister"" "," ""William"" "," ""Jack"" "," ""alister.jack.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Michael"" "," ""Joseph Patrick"" "," ""Kane"" "," ""mike.kane.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Wayne"" ",  ," ""David"" "," ""davidw@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Gavin"" "," ""Andrew Stuart"" "," ""Newlands"" "," ""gavin.newlands.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
