 givenName , otherName , familyName , email , addressLine1 , addressLine2 , addressLine3 , addressLine4 , addressLine5 , postCode
 Alexander , Jesse , Norman , jesse.norman.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Timothy , James , Farron , farront@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Helen , Mary , Jones , jonesh@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Catharine , Letitia , Hoey , hoeyk@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Angela ,, Eagle , eaglea@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Albert ,, Owen , albert.owen.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Susan , Elan , Jones , susan.jones.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Robin , Caspar , Walker , robin.walker.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Alison ,, McGovern , alison.mcgovern.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Christopher , John , Bryant , bryantc@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Oliver ,, Letwin , letwino@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Susan , Mary , Hayman , sue.hayman.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Caroline ,, Lucas , caroline.lucas.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Dominic , Charles Roberts , Grieve , dominic.grieve.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 David , Roy , Lidington , david.lidington.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Huw , William , Merriman , huw.merriman.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Andrew , James , Griffiths , andrew.griffiths.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Yasmin  ,, Qureshi , yasmin.qureshi.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Teresa ,, Pearce , teresa.pearce.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Mark ,, Harper , mark.harper.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Ian ,, Austin , austini@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Robert , Henry , Halfon ,, House of Commons , London ,,,, SW1A 0AA
 Rupa , Asha , Huq , rupa.huq.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 John , Simon , Bercow , speakersoffice@parliament.uk , Speaker’s Office , House of Commons , London , SW1A 0AA , (Please note: briefings and other representations from lobbying/interest groups should be sent to the Constituency Office) ,
 Jonathan , Simon , Djanogly , jonathan.djanogly.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Victoria , Grace , Ford , vicky.ford.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 William , David , Wiggin , bill.wiggin.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Nicola , Ann , Morgan , nicky.morgan.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Daniel , Robert , Kawczynski , kawczynskid@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Stuart , James , Andrew , stuart.andrew.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Keith , Anthony , Vaz , vazk@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Neil , John , O'Brien , neil.obrien.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Oliver ,, Heald , Oliver.heald.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Richard , Irwin , Harrington , richard.harrington.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Alan ,, Campbell , alan.campbell.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 George , Edward , Howarth , george.howarth.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Joanne , Kate , Swinson , jo.swinson.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Luciana , Clare , Goldsmith (Berger) , luciana.berger.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Christopher , Michael , Leslie , chris.leslie@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Alexander ,, Cunningham , alex.cunningham.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Sharon ,, Hodgson , sharon.hodgson.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Rosena , Chantelle , Allin-Khan , rosena.allinkhan.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Jeremy , John Elton , Lefroy , jeremy.lefroy.mp@parliament.uk , House of Commons ,,,,, SW1A 0AA
 Shailesh , Lakhman , Vara , shailesh.vara.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Kwasi , Alfred Addo , Kwarteng , kwasi.kwarteng.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Robert , James , Buckland , robert.buckland.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Stephen , Nathan , Kinnock , stephen.kinnock.mp@parliament.uk , London ,,,,, SW1A 0AA
 Gavin , James , Robinson , gavin.robinson.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Peter ,, Grant , peter.grant.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 John , Alan , Redwood , john.redwood.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Edward , Glyn , Davies , contact@glyn-davies.co.uk , House of Commons , London ,,,, SW1A 0AA
 Gerald ,, Jones , gerald.jones.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Michael ,, Brady , mickey.brady.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Gloria ,, De Piero , gloria.depiero.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Anne-Marie , Belinda , Trevelyan , annemarie.trevelyan.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Richard ,, Graham , richard.graham.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Lindsay , Harvey , Hoyle , Lindsay.hoyle.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Andrew , Theakstone , Percy , andrew.percy.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Margaret , Mary , Beckett , margaret.beckett.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Melvyn , John , Stride , mel.stride.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Christopher , Stephen , Grayling , chris.grayling.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Martin , John , Vickers , martin.vickers.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Michael , Mark , Prisk , natalie.bithell@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Cheryl , Elise Kendall , Gillan , cheryl.gillan.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Julie , Elizabeth , Cooper , julie.cooper.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Alok , Kumar , Sharma , alok.sharma.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Kevin , John , Barron , barronk@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Karl ,, Turner , karl.turner.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Sarah , Deborah , Champion , sarah.champion.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Victoria ,, Foxcroft , vicky.foxcroft.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Mark , Steven , Spencer , mark.spencer.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Ranil , Malcolm , Jayawardena , Ranil@TellRanil.com , House of Commons , London ,,,, SW1A 0AA
 Laurence , Anthony , Robertson , robertsonl@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Margaret , Ann , Throup , maggie.throup.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Margot , Cathleen , James , margot.james.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Nicholas ,, Soames , nicholas.soames.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Chi , Susan , Onwurah , chi.onwurah.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Christopher , Paul , Farrelly , paul.farrelly.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Elizabeth , Mary , Truss , elizabeth.truss.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 David ,, Drew , david.drew.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Ann ,, Coffey , ann.coffey.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Priti , Sushil , Patel , withammp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Catherine , Elizabeth , West , catherine.west.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 David , James , Duguid , david.duguid.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Mary , Theresa , Glindon , mary.glindon.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Gregory , Lloyd , Campbell , fieldingm@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 John ,, McNally , john.mcnally.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Francis , Joseph , Molloy ,, House of Commons , London ,,,, SW1A 0AA
 John ,, Healey , john.healey.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 David , Jonathan  , Edwards , jonathan.edwards.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Peter ,, Wishart , wishartp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Martyn ,, Day , martyn.day.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Ian ,, Murray , ian.murray.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Angela ,, Rayner , angela.rayner.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Miriam , Jane Alice , Davies , mims.davies.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Ivan ,, Lewis , lewisi@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Thomas , Christopher John , Pursglove , tom.pursglove.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Margaret , Eve , Hodge , hodgem@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Darren , Paul , Jones , darren.jones.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Melanie ,, Onn , melanie.onn.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Michael , Robert , Hill , mike.hill.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Clive , Stanley , Efford , effordc@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Rushanara ,, Ali , rushanara.ali.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 William , Peter , Wragg ,, House of Commons , London ,,,, SW1A 0AA
 Andrew , John , Stevenson , john.stevenson.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Catherine , Malloy , Hollern , kate.hollern.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 David , Michael , Gauke , gauked@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Kirsty , Ann , Blackman , kirsty.blackman.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Luke , Anthony , Hall , luke.hall.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Desmond , Angus , Swayne , swayned@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 John , Robert , Cryer , john.cryer.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Richard ,, Burgon , richard@richardburgon.com , House of Commons , London ,,,, SW1A 0AA
 David , Henry , Rutley , david.rutley.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Emma , Elizabeth , Reynolds , emma.reynolds.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Robert , John , Blackman , bob.blackman.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Caroline , Alice , Spelman ,, House of Commons , London ,,,, SW1A 0AA
 Mark , Phillip , Hendrick , mark.hendrick.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Andrew , Edmund Armstrong , Selous , andrew.selous.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Katherine , Anne , Green , kate.green.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Stephen , James , Metcalfe , stephen.metcalfe.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Peter , William , Bone , bonep@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Rishi ,, Sunak , rishi.sunak.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Nicholas , Hugh , Brown , nickbrownmp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Nicholas ,, Dakin , nic.dakin.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Catherine ,, McKinnell , catherine.mckinnell.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 James , Roger , Cartlidge , james.cartlidge.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Hannah , Mary , Bardell , hannah.bardell.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Andrew ,, Bowie , andrew.bowie.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Órfhlaith ,, Begley ,, House of Commons , London ,,,, SW1A 0AA
 Alister , William , Jack , alister.jack.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Michael , Joseph Patrick , Kane , mike.kane.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Wayne ,, David , davidw@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Gavin , Andrew Stuart , Newlands , gavin.newlands.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Helen , Catherine , Goodman , goodmanh@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Khalid ,, Mahmood , mahmoodk@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Marsha , Chantol , De Cordova , marsha.decordova.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Laura ,, Smith , laura.smith.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Helen , Elizabeth , Hayes , helen.hayes.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Margaret , Olivia , Hillier , meghilliermp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Keith , Robert , Simpson , keith.simpson.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Tulip , Rizwana , Siddiq , tulip.siddiq.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Abimbola ,, Afolami , bim.afolami.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Brett , Charles Anthony , Elphicke , charlie.elphicke.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Barry , Strachan , Gardiner , gardinerb@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Gregory , William , Hands , handsg@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Christian , John Patrick , Matheson , chris.matheson.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Laura ,, Pidcock , laura.pidcock.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Gareth , Craig , Snell , gareth.snell.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Caroline , Fiona Ellen , Nokes , caroline.nokes.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Philip , Thomas , Hollobone , philip.hollobone.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Rebecca ,, Long-Bailey , rebecca.longbailey.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Rachel , Helen , Maclean , rachel.maclean.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Louise ,, Haigh , louise.haigh.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Thérèse , Anne , Coffey , therese.coffey.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 George , Michael Edward , Hollingbery , george.hollingbery.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Clive , Anthony , Lewis , clive.lewis.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Gavin ,, Shuker , gavin.shuker.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Julian , Murray , Lewis ,, House of Commons , Westminster , London  ,,, SW1A 0AA
 Douglas ,, Chapman , douglas.chapman.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Ronald , Jack , Cowan , ronnie.cowan.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Gordon , Leonard , Henderson , gordon.henderson.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Paul , Christopher , Blomfield , paul.blomfield.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Ruth , Stephanie Nicole , George , ruth.george.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Steven , John , Baker , steve.baker.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Tanmanjeet , Singh , Dhesi , tan.dhesi.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Layla , Michelle , Moran , layla.moran.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Alan ,, Brown , alan.brown.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Philippa ,, Whitford , philippa.whitford.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Carol , Frances , Monaghan , carol.monaghan.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Brendan ,, O'Hara , brendan.ohara.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 David , Thomas Charles , Davies , david.davies.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Martin , David , Whitfield , martin.whitfield.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Eleanor , Patricia , Smith , eleanor.smith.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Daniel , Owen , Jarvis , dan.jarvis.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Tracy , Lynn , Brabin , tracy.brabin.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Thelma , Doris , Walker , thelma.walker.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Christopher , Robert , Chope , chopec@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Amanda , Anne , Milling , amanda.milling.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Kate , Ofunne , Osamor , kate.osamor.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Edward , John Comport , Argar , edward.argar.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Steven , Mark Ward , Reed , steve.reed.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Barry , John , Sheerman , sheermanb@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Sue-Ellen , Cassiana , Braverman , suella.braverman.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Harriet , Ruth , Harman , harriet.harman.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Mohammad ,, Yasin , mohammad.yasin.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Lloyd ,, Russell-Moyle , lloyd.russellmoyle.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Paul , Daniel , Williams , paul.williams.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Paul , Stuart , Scully , paul.scully.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Lilian , Rachel , Greenwood , lilian.greenwood.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 John , Vincent , Cable , vince.cable.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Lucy , Claire , Leigh (Frazer) , lucy.frazer.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Christopher , James , Skidmore , chris.skidmore.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Andrew , Hanson , Jones , andrew.jones.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 William , Roffen , Esterson , bill.esterson.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 John , Henry , Hayes , hayesj@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Iain , Aitken , Stewart , iain.stewart.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Andrew , Richard , Rosindell , andrew.rosindell.mp@parliament.uk , House of Commons , London ,,,, SW1A 1AA
 Andrew , Joseph , McDonald , info@andymcdonaldmp.org , House of Commons , London ,,,, SW1A 0AA
 Fabian ,, Hamilton , fabian.hamilton.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Emma , Louise , Lewell-Buck , emma.lewell-buck.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Robert , Andrew Raymond , Syms , symsmp.office@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 James , Philip , Duddridge , james@jamesduddridge.com , House of Commons , London ,,,, SW1A 0AA
 Mark , Andrew , Pritchard , pritchardm@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Justine ,, Greening , greeningj@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Elizabeth , Louise , Kendall , liz.kendall.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Thomas ,, Sheppard , tommy.sheppard.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Patrick , Bosco , McFadden , mcfaddenp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Ian , Richard Kyle , Paisley , ian.paisley.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Liz ,, Saville Roberts , liz.savilleroberts.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Stuart , Campbell , McDonald , stuart.mcdonald.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Danielle ,, Rowley , danielle.rowley.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Thomas David ,, Simpson , simpsond@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Nicholas , Desmond John , Smith , nick.smith.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Lesley , Margaret Langan , Laird , lesley.laird.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 John , Derek , Twigg , derek.twigg.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Victoria , Mary Boswell , Prentis , victoria.prentis.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Benjamin , Peter James , Bradshaw , bradshawb@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Ian , Richard Peregrine , Liddell-Grainger , ianlg@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Colleen , Margaret , Fletcher , colleen.fletcher.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Elizabeth , Anne , McInnes ,, House of Commons , London ,,,, SW1A 0AA
 Maria ,, Eagle , eaglem@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Claire , Louise , Perry , claire.perry.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 David , Anthony , Evennett , david.evennett.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Ruth , Margaret , Cadbury , ruthcadburymp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Anna , Mary , Soubry , anna.soubry.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Ronnie ,, Campbell , ronnie.campbell.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Alec ,, Shelbrooke , alec.shelbrooke.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Ian ,, Lavery , ian.lavery.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Nadhim ,, Zahawi , nadhim.zahawi.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Wesley , Paul William , Streeting , wes.streeting.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Stephen , James , Morgan , stephen.morgan.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 John , Mark , Lancaster , officeofmarklancaster@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Alberto , Castrenze , Costa , alberto.costa.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Mark , Julian Francis , Pawsey , mark.pawsey.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Kevin , John , Foster , kevin.foster.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Jeremy , Mark , Quin , jeremy.quin.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 Richard , Grosvenor , Plunkett-Ernle-Erle-Drax , richard.drax.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
 David , Thomas , Morris , david.morris.mp@parliament.uk , House of Commons , London ,,,, SW1A 0AA
